task,ladder,n_features,macro_auc,auc_lo,auc_hi,n,delta_vs_R,delta_vs_R_L1
domain,R_recording,8,0.5123692427073167,0.4970205012652754,0.5283038542761374,18530,0.0,-0.00911194918821967
domain,R_plus_L1,9,0.5214811918955363,0.5119085018966875,0.5306290337149092,18530,0.00911194918821967,0.0
domain,R_plus_L1_L3,10,0.5346027712575907,0.5139718063509287,0.5543345744934621,18530,0.02223352855027405,0.01312157936205438
domain,R_full_profile,14,0.5473023887534569,0.5245711195756529,0.5654660362259111,18530,0.034933146046140284,0.025821196857920614
count_vs_amount,R_recording,8,0.9998540879823457,0.9992314695634983,1.0,13758,0.0,9.556859580706067e-05
count_vs_amount,R_plus_L1,9,0.9997585193865386,0.9989624105709073,1.0,13758,-9.556859580706067e-05,0.0
count_vs_amount,R_plus_L1_L3,10,0.9997612043690371,0.9989783877132759,1.0,13758,-9.288361330850314e-05,2.684982498557531e-06
count_vs_amount,R_full_profile,14,0.9998621429298411,0.9992564402945786,1.0,13758,8.054947495450548e-06,0.00010362354330251122
