cross_section,n,log10_mean,resonance,keff,keff_lo,keff_hi,dL1p,dL1p_lo,dL1p_hi,dL2p,dL2p_lo,dL2p_hi,dTailp,dTailp_lo,dTailp_hi,rounding_mass,rounding_mass_lo,rounding_mass_hi,trail10,trail10_lo,trail10_hi
census2020_count,3144,4.46005,0.030731,1.001205,0.990097,1.012389,0.002037,-0.003818,0.00831,-0.000252,-0.005202,0.004437,-0.001785,-0.004205,0.000651,0.111962,0.107982,0.116006,0.117048,0.10687,0.127545
acs5yr_estimate,3144,4.460379,0.029407,0.998061,0.987149,1.008524,0.003038,-0.002743,0.009076,0.000471,-0.004199,0.00501,-0.003508,-0.005967,-0.001118,0.107125,0.103159,0.11105,0.112595,0.101781,0.122774
acs5yr_MOE,125,2.122597,0.182988,0.964802,0.922784,1.011102,0.032368,0.00704,0.056954,-0.03063,-0.054004,-0.00685,-0.001738,-0.004946,0.00198,0.182861,0.150817,0.215628,0.072,0.032,0.112
