transform,macro_auc,auc_lo,auc_hi,n_channels
identity,0.6241344129106101,0.5979440247369414,0.6864466289459282,151
plus1,0.5212713770625551,0.47820682754763594,0.579309304892871,151
round10,0.5397312946530143,0.5112561835975657,0.5994772227043939,151
round100,0.5491073986969297,0.5094096629252286,0.6099172997036321,146
grid_quotient,0.5725148893237589,0.5405464958651774,0.6365195477495789,151
deround,0.5994000890328464,0.5609869203216269,0.6576986929878222,150
strip7,0.56274191530493,0.5289462216353539,0.6216606713949506,147
