fold,macro_auc,n_test,n_test_families,n_test_classes,dominant_class_share
0,,3780,1,1,1.0
1,0.8642625631756753,3688,40,9,0.9848156182212582
2,0.4998099412425332,3688,84,12,0.5371475054229935
3,0.49685963398442917,3687,87,12,0.5348521833468945
4,0.5089071260084943,3687,62,10,0.9666395443449959
