dataset_id,domain,value_digits,L1,L3,r_parts
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6692014031010416,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.4825343799256677,0.1513887833391454,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6749560511029847,0.10212970237813496,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5229615073293769,0.1342171311246012,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6015464703941406,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8280193834905756,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.4911798126426561,0.09594852390150915,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5050141042037255,0.061124220146990885,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.8840343128757074,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.6438325334856693,0.16728152319999126,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.7445724233007069,0.1129281354092317,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.7799978276709024,0.09726606433084568,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6675165800818377,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8025214289856334,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.29671236045805066,0.21129274125168376,5
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.814309611054519,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.3077156728217577,0.2343943499874148,5
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.7919865558259624,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,0.39740350937978663,0.1899435947487745,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4952719120233839,0.11737981471176256,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.9414410013044856,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5153363068820889,0.23028906259127757,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.8344553274347467,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.713991116364192,0.11898804572282042,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.49618427021904393,0.09265413327902415,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.8036696771118529,0.059101316247726986,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.799793431874798,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,0.9246718605123632,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.7355029708141737,0.05931182531881734,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.730886237741616,0.11897899113916102,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.9999999999999999,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4393611798295432,0.16784438679301827,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8336932748580692,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.9346788569303489,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.8641044719878765,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5860044087573553,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8972854297318298,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.44969103557303913,0.16563873193368506,5
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6111573424224123,0.1103500750204955,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.44716336021437214,0.17962553992995162,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.2908540820524439,0.23777105052306835,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.761301256367049,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4338774086165063,0.13461477069814531,5
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.9386772632651725,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8471427375379086,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.4546774264542478,0.19612827028836746,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5146798171368748,0.2001461683333046,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6145434248964529,0.09719890564236928,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.8463775380113253,0.05942928067460042,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,0.3858001306424571,0.18839565856023888,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.7763014841165616,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.8604181199553559,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.7053079791309133,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,0.5099229936205991,0.0762615648570675,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6082708183206003,0.061616355067933434,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6885237784193377,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8065134619208487,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.9290556836061145,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5514780794283062,0.09721069367640729,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.47406886288313416,0.1910894164019865,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5713912407614178,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8381842584009163,0.06259887389234478,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.7927826170494804,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.6794322565583776,0.13553444288398805,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.7785658774352465,0.09789914973298217,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,0.6650789615094163,0.14807331641638596,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.3326457426583884,0.19156275292900754,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.6064120581548802,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.6922387821032217,0.1342745346442726,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8671935846539908,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5212827832627788,0.180363851528355,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.9032806125439898,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8756853507570241,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.7740595026072706,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6125234836772863,0.1311947496067672,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.9081819567441408,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8549152225135357,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.770512564850747,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6021224720246703,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5243531295305148,0.13673926543421577,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8742154695227148,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8183125909086293,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5599792795312294,0.14041767516350062,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4353732025019488,0.27318517464140335,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.9370007457602348,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6114012009095826,0.18785398274669737,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.43115678157802056,0.17002670770506917,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4260684520218574,0.1870859551985422,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.7303165553834592,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6467893877869464,0.06137576313703247,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.6494197292857459,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.423388010293792,0.2841525144895254,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.7879344405866743,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4789276531105291,0.16407075013382233,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8735288350413977,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5877003977892151,0.13632581707098715,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.859045281516917,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.7316774622382366,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.9047708700788037,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4732710356786841,0.21876006389127003,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.9416924630392327,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.8317739402634586,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.712014838922975,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4090591523917992,0.2778614644790497,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.656680619413807,0.060830639378835184,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6749536171429393,0.15041730251901933,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.6103964409895775,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.48621690205470725,0.09878803302954768,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5301988167897634,0.1624671846504582,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5299798270031801,0.19067960326808128,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.49283788278948726,0.17593312652778506,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5181623733060605,0.10443139517151996,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5763601198704095,0.13434457796361945,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.536972914617638,0.09219602877138851,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.4306487625903325,0.17726571839221306,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,0.5418355197873329,0.16074706614460052,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5641030854860846,0.13438720340892008,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.4557860662250625,0.16692862953297602,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6167541590030584,0.147760700290414,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.8450333972850075,0.05994926528789481,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8761291797637322,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.6261289549610874,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.9079220332418109,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8276001408445232,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6469372770117601,0.10587485174578079,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.511993939835758,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.3809174871582749,0.24033217630382914,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.4912011211308798,0.139676263186078,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.9044527620851823,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5236691407948368,0.20060506671749256,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5875997426017787,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8677933594473887,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4774506555406818,0.1898606913090668,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.7580619813706105,0.05801975300412043,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5108814844261953,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.538447496568336,0.09644654274607253,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.7555238848712907,0.05862842018601025,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.814310167914304,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5793020626827612,0.12456104922028581,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.4971009220282392,0.16488860416384318,4
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.9058968958632238,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,1.0,0.0,1
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5146667077580623,0.21523045335011656,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8360512247442617,0.06342404395034729,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.618917081802517,0.059941769712723844,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6011670780195805,0.18523282489577242,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.33184587025846013,0.2044625863061378,5
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6734417701531807,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,0.4739508921897151,0.0827439724328116,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.63049495868544,0.09587448465744386,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,4,0.8259332928611239,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.6409071604511969,0.14422000950238728,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.9039381405793706,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.41273398892029,0.18782318500793335,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,6,0.5981592949200831,0.16361701208299473,3
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.8545662109981963,0.0,2
archive__louisville-metro-ky-expenditures-data-fo__objectid__099a2620,accounting,5,0.5381574565932645,0.2130900301263031,3
