contrast,n,d_keff,d_keff_lo,d_keff_hi,d_dL1p,d_dL1p_lo,d_dL1p_hi,d_dL2p,d_dL2p_lo,d_dL2p_hi
pep2015_minus_census2010,3142,0.018303,0.002726,0.033664,-0.010847,-0.019422,-0.002619,0.008537,0.001776,0.015415
pep2022_minus_censusbase2020,3144,-0.014306,-0.029651,0.000837,0.006702,-0.001177,0.01477,-0.004128,-0.01074,0.002259
