cross_section,n,log10_mean,resonance,keff,keff_lo,keff_hi,dL1p,dL1p_lo,dL1p_hi,dL2p,dL2p_lo,dL2p_hi,dTailp,dTailp_lo,dTailp_hi,rounding_mass,rounding_mass_lo,rounding_mass_hi,trail10,trail10_lo,trail10_hi
nc_precinct_pres_2024,15332,1.453388,0.233759,0.981446,0.978522,0.984357,0.016027,0.013819,0.018157,-0.013748,-0.015753,-0.011668,-0.002279,-0.002706,-0.001836,0.426511,0.420535,0.432159,0.066919,0.063527,0.070376
nc_precinct_pres_2020,13402,1.557843,0.202325,0.979613,0.976418,0.982753,0.012558,0.010162,0.015064,-0.010628,-0.01294,-0.008377,-0.00193,-0.002398,-0.001478,0.399804,0.393459,0.405715,0.070885,0.067154,0.074914
county_pres_total_2024,3160,4.149482,0.030543,0.992423,0.981655,1.003509,0.011281,0.005488,0.017262,-0.005204,-0.010109,-0.000376,-0.006077,-0.008279,-0.003926,0.120841,0.116654,0.125227,0.12057,0.110443,0.131962
county_pres_dem_2024,3160,3.601307,0.027566,0.999787,0.989556,1.010423,0.009783,0.004104,0.015311,-0.006012,-0.010918,-0.0011,-0.003772,-0.005685,-0.001793,0.146806,0.141524,0.152061,0.112342,0.101899,0.123418
county_pres_total_2020,3152,4.153744,0.027816,0.99999,0.989096,1.011158,0.003984,-0.001795,0.00963,-0.000287,-0.005211,0.004625,-0.003697,-0.005936,-0.001521,0.118446,0.114333,0.122865,0.112627,0.102792,0.123096
state_pres_total_2024,51,6.273226,0.216218,1.033946,0.949811,1.128693,-0.018914,-0.061896,0.024813,0.017778,-0.015314,0.048402,0.001135,-0.021472,0.024381,0.076771,0.054268,0.099267,0.117647,0.039216,0.215686
cvap_county_modeled,3222,4.339678,0.102697,1.261857,1.250433,1.27393,0.033597,0.027663,0.039156,-0.016954,-0.021771,-0.011678,-0.016642,-0.018502,-0.01476,0.274765,0.270719,0.278902,0.554314,0.536608,0.571695
