cross_section,n,log10_mean,resonance,keff,keff_lo,keff_hi,dL1p,dL1p_lo,dL1p_hi,dL2p,dL2p_lo,dL2p_hi,dTailp,dTailp_lo,dTailp_hi,rounding_mass,rounding_mass_lo,rounding_mass_hi,trail10,trail10_lo,trail10_hi
census2010_enumeration,3142,4.458821,0.028048,0.990376,0.979166,1.001761,0.006348,-4.3e-05,0.012586,-0.003561,-0.008546,0.001508,-0.002787,-0.005311,-0.000349,0.107276,0.103273,0.111258,0.112031,0.102164,0.122533
pep2015_estimate,3142,4.459976,0.030527,1.008679,0.997548,1.020269,-0.0045,-0.010417,0.001429,0.004976,0.000131,0.009546,-0.000476,-0.002856,0.001994,0.105779,0.101913,0.109844,0.104392,0.093889,0.115213
censusbase2020,3144,4.46005,0.030731,1.001205,0.989688,1.012138,0.002037,-0.003957,0.008006,-0.000252,-0.005099,0.004589,-0.001785,-0.004166,0.000595,0.111962,0.108069,0.116019,0.117048,0.107506,0.127545
pep2022_estimate,3144,4.461872,0.030943,0.9869,0.976337,0.998657,0.008739,0.002924,0.014562,-0.00438,-0.009049,0.00023,-0.004359,-0.006675,-0.00186,0.107708,0.103913,0.111718,0.109097,0.098919,0.119275
matched_synthetic_null,3142,4.45883,0.029158,0.992049,0.9814,1.003695,0.004884,-0.001224,0.011024,-0.001651,-0.006338,0.003073,-0.003233,-0.00566,-0.000605,0.108291,0.104222,0.112434,0.107575,0.09739,0.118078
