dataset_id,max_abs_z,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
cp-discovery__259-csv__n-bytes__1cf6c29e,5.22663431555747,-0.12755243729863408,-0.1105579053395578,-0.10090107716167987,-0.04712473704941514,-0.12742982268439743,-5.22663431555747,-3.542081595702419,-1.5883460129056872,-1.984329885470721,-1.2917914405027275,-0.09135555237893325
audit-analytics__259-csv__n-bytes__71ce5e4b,3.3372243840863036,-0.0732133823576483,-0.0019102691543588486,-0.05319888984463075,-0.014811075253692036,-0.08846187772038237,-3.3372243840863036,-1.662178617826732,-1.5384189847660115,-2.933867643883851,-3.1094944674361225,-0.22136809073858968
archive__68-csv__n-bytes__d3088831,4.201787113713652,-0.03784318299736121,-0.0694947426076625,-0.07813932910754244,-0.014607271466799005,-0.04169286813805151,-4.201787113713652,-1.6888235120917199,-1.7500018650092253,-2.560297478333106,-2.278296891881142,-1.227210217603239
