cod_id,n_symops,n_sites,mult_product_log10,d,L1,Tail,H2,keff,omega,maxexp,frac_exp_carrier
7015553,2,76,22.87828,23,1.0,0.0,1.0,0.51204,1,76,1.0
4318406,2,74,22.27622,23,1.0,0.0,1.0,0.51204,1,74,1.0
7024640,4,98,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7006191,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7223526,2,96,28.89888,29,1.0,0.0,1.0,0.50955,1,96,1.0
7115324,4,41,24.68446,25,1.0,0.0,1.0,0.51108,1,82,1.0
4021998,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7238293,2,90,27.0927,28,1.0,0.0,1.0,0.50989,1,90,1.0
4331206,2,108,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7002964,8,110,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
1538387,192,4,4.51545,5,1.0,0.0,1.0,0.56544,1,15,1.0
7708000,4,54,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7026472,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1547586,4,38,22.87828,23,1.0,0.0,1.0,0.51204,1,76,1.0
4106675,2,81,24.38343,25,1.0,0.0,1.0,0.51108,1,81,1.0
7033847,12,120,30.94407,31,0.58369,0.0,0.51401,0.99013,2,60,1.0
2017609,2,35,10.53605,11,1.0,0.0,1.0,0.52595,1,35,1.0
2216653,4,29,17.45974,18,1.0,0.0,1.0,0.51452,1,58,1.0
1514368,4,107,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4035964,8,58,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7719955,2,17,4.81648,5,1.0,0.0,1.0,0.56544,1,16,1.0
1561077,4,34,20.47004,21,1.0,0.0,1.0,0.51319,1,68,1.0
7059812,4,54,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
7715156,8,96,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4027463,8,57,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7210478,2,33,9.93399,10,1.0,0.0,1.0,0.52833,1,33,1.0
4518813,6,42,30.64893,31,0.60712,0.0,0.52295,0.97319,2,40,1.0
4315804,2,39,11.74017,12,1.0,0.0,1.0,0.52396,1,39,1.0
7055333,4,34,20.47004,21,1.0,0.0,1.0,0.51319,1,68,1.0
2216981,2,58,17.45974,18,1.0,0.0,1.0,0.51452,1,58,1.0
5000189,4,36,21.67416,22,1.0,0.0,1.0,0.51259,1,72,1.0
7046583,2,44,13.24532,14,1.0,0.0,1.0,0.51931,1,44,1.0
4074615,18,120,30.25148,31,0.74128,-0.0,0.61643,0.82562,2,47,1.0
1536131,4,6,2.40824,3,1.0,0.0,1.0,0.62381,1,8,1.0
2020721,4,53,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4079287,4,69,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2224840,2,46,13.84738,14,1.0,0.0,1.0,0.51931,1,46,1.0
2004650,8,35,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
1569702,4,47,28.29682,29,1.0,0.0,1.0,0.50955,1,94,1.0
4086140,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2312122,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1543801,2,51,15.35253,16,1.0,0.0,1.0,0.51713,1,51,1.0
4026362,4,43,25.88858,26,1.0,0.0,1.0,0.51065,1,86,1.0
7207455,8,68,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
4071697,2,91,27.39373,28,1.0,0.0,1.0,0.50989,1,91,1.0
4518483,4,12,5.11751,6,1.0,0.0,1.0,0.5514,1,17,1.0
7237431,4,40,24.0824,25,1.0,0.0,1.0,0.51108,1,80,1.0
7007181,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7201056,4,49,29.50094,30,1.0,0.0,1.0,0.50923,1,98,1.0
4038759,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2012539,4,25,15.0515,16,1.0,0.0,1.0,0.51713,1,50,1.0
2237397,4,44,26.49064,27,1.0,0.0,1.0,0.51026,1,88,1.0
4508196,6,120,30.3479,31,0.61315,-0.0,0.5256,0.96828,2,39,1.0
1521036,12,12,8.75839,9,0.61867,-0.0,0.52816,1.00951,2,18,1.0
1555713,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1563046,2,27,7.82678,8,1.0,0.0,1.0,0.53581,1,26,1.0
1561838,8,120,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
1517683,8,120,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
4032118,4,60,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4517322,8,89,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
1550619,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7119999,4,27,15.95459,16,1.0,0.0,1.0,0.51713,1,53,1.0
4069686,8,120,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
1563797,4,49,29.50094,30,1.0,0.0,1.0,0.50923,1,98,1.0
2240419,2,44,12.94429,13,1.0,0.0,1.0,0.5212,1,43,1.0
1550288,6,13,8.20748,9,0.52319,0.0,0.50108,1.06408,2,13,1.0
4025109,4,36,21.67416,22,1.0,0.0,1.0,0.51259,1,72,1.0
4089256,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7125067,4,28,16.85768,17,1.0,0.0,1.0,0.51613,1,56,1.0
4506998,2,116,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7005209,4,93,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2240747,8,51,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7123762,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1567256,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1567300,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7023514,4,36,21.67416,22,1.0,0.0,1.0,0.51259,1,72,1.0
4087784,2,115,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4317540,8,63,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
4020968,4,50,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4121231,2,108,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1564748,2,69,20.77107,21,1.0,0.0,1.0,0.51319,1,69,1.0
7057067,2,43,12.94429,13,1.0,0.0,1.0,0.5212,1,43,1.0
4324549,8,21,18.36283,19,1.0,0.0,1.0,0.51457,1,61,1.0
4028984,4,84,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1561112,2,21,6.32163,7,1.0,0.0,1.0,0.54293,1,21,1.0
7706319,2,89,26.79167,27,1.0,0.0,1.0,0.51026,1,89,1.0
2310827,2,82,24.68446,25,1.0,0.0,1.0,0.51108,1,82,1.0
4121625,2,118,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2207656,8,25,15.95459,16,1.0,0.0,1.0,0.51713,1,53,1.0
7050064,2,53,15.95459,16,1.0,0.0,1.0,0.51713,1,53,1.0
7718101,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
8106298,8,43,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
4500557,2,52,15.0515,16,1.0,0.0,1.0,0.51713,1,50,1.0
2213217,4,56,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7040657,8,73,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7124027,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7106391,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4003745,2,84,25.28652,26,1.0,0.0,1.0,0.51065,1,84,1.0
7131714,4,60,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7127477,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7207162,24,63,30.79062,31,0.67459,-0.0,0.56096,0.90725,2,69,1.0
4072947,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7043348,4,15,5.71957,6,1.0,0.0,1.0,0.5514,1,19,1.0
4316229,4,43,25.88858,26,1.0,0.0,1.0,0.51065,1,86,1.0
2108768,4,43,25.88858,26,1.0,0.0,1.0,0.51065,1,86,1.0
7712011,4,19,11.43914,12,1.0,0.0,1.0,0.52396,1,38,1.0
2244005,2,47,14.14841,15,1.0,0.0,1.0,0.51868,1,47,1.0
1560749,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1531316,4,86,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1559562,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4068419,4,108,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7218802,8,34,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
7062383,2,39,11.74017,12,1.0,0.0,1.0,0.52396,1,39,1.0
7219266,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7016178,2,77,23.17931,24,1.0,0.0,1.0,0.51154,1,77,1.0
7109770,4,110,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7108410,4,69,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4072107,2,115,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2019913,4,60,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1571252,8,60,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7131563,12,20,18.34608,19,0.55789,0.0,0.5067,1.01554,2,34,1.0
7003326,2,50,15.0515,16,1.0,0.0,1.0,0.51713,1,50,1.0
1561519,4,54,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7024412,4,104,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4108940,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1535070,8,16,13.84738,14,1.0,0.0,1.0,0.51931,1,46,1.0
2237520,2,34,10.23502,11,1.0,0.0,1.0,0.52595,1,34,1.0
7249695,2,73,21.97519,22,1.0,0.0,1.0,0.51259,1,73,1.0
9000866,8,10,6.32163,7,1.0,0.0,1.0,0.54293,1,21,1.0
4029003,4,52,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4106438,8,120,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
1562643,8,26,20.77107,21,1.0,0.0,1.0,0.51319,1,69,1.0
2225366,36,23,31.12605,32,0.61315,0.0,0.5256,0.96775,2,40,1.0
1545497,8,24,21.67416,22,1.0,0.0,1.0,0.51259,1,72,1.0
1509336,4,10,6.0206,7,1.0,0.0,1.0,0.54293,1,20,1.0
7237936,2,36,10.83708,11,1.0,0.0,1.0,0.52595,1,36,1.0
7247401,4,53,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7024343,4,102,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4028838,16,41,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1501760,4,40,24.0824,25,1.0,0.0,1.0,0.51108,1,80,1.0
4341982,8,105,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
7714339,2,83,24.98549,25,1.0,0.0,1.0,0.51108,1,83,1.0
4516151,2,58,17.45974,18,1.0,0.0,1.0,0.51452,1,58,1.0
7110344,4,28,16.85768,17,1.0,0.0,1.0,0.51613,1,56,1.0
7204758,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7211980,2,84,25.28652,26,1.0,0.0,1.0,0.51065,1,84,1.0
2016652,2,53,15.95459,16,1.0,0.0,1.0,0.51713,1,53,1.0
4348632,32,39,31.00609,32,1.0,0.0,1.0,0.50865,1,103,1.0
7108312,48,4,4.91878,5,0.612,0.0,0.52509,1.07685,2,10,1.0
4070389,8,85,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7715898,2,63,18.96489,19,1.0,0.0,1.0,0.51457,1,63,1.0
4513468,4,42,25.28652,26,1.0,0.0,1.0,0.51065,1,84,1.0
4310573,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7703654,2,111,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4503003,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1512673,4,62,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7232615,4,45,27.0927,28,1.0,0.0,1.0,0.50989,1,90,1.0
7217293,4,58,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
4074524,4,65,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4126266,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4502206,4,97,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4325805,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4325593,2,81,24.0824,25,1.0,0.0,1.0,0.51108,1,80,1.0
1503760,4,66,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1547055,2,37,11.13811,12,1.0,0.0,1.0,0.52396,1,37,1.0
7128419,2,81,24.38343,25,1.0,0.0,1.0,0.51108,1,81,1.0
1531081,4,20,6.92369,7,1.0,0.0,1.0,0.54293,1,23,1.0
7042461,4,96,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7029622,4,76,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1512042,8,33,29.80197,30,1.0,0.0,1.0,0.50923,1,99,1.0
7246865,4,83,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7217271,4,110,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7021691,8,120,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7109327,2,59,17.76077,18,1.0,0.0,1.0,0.51452,1,59,1.0
7108757,2,52,15.65356,16,1.0,0.0,1.0,0.51713,1,52,1.0
2217576,4,30,18.0618,19,1.0,0.0,1.0,0.51457,1,60,1.0
7052677,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
7028401,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
1560916,4,20,12.0412,13,1.0,0.0,1.0,0.5212,1,40,1.0
4118576,4,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4125266,4,86,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4308271,8,52,30.40403,31,1.0,0.0,1.0,0.50893,1,101,1.0
7707769,4,68,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
2020733,8,64,30.70506,31,1.0,0.0,1.0,0.50893,1,102,1.0
7032819,2,120,30.103,31,1.0,0.0,1.0,0.50893,1,100,1.0
4071009,2,47,14.14841,15,1.0,0.0,1.0,0.51868,1,47,1.0
7061926,2,64,19.26592,20,1.0,0.0,1.0,0.51385,1,64,1.0
