stage,coords,macro_auc,auc_lo,auc_hi,n_channels,silhouette_family,n_families
S0_raw,L1+L3,0.5259867734624112,0.5083120890299211,0.5433812219430496,18530,-0.2536143649118445,274
S1_digit,g15_dL1+g15_dL3,0.4224014658969333,0.29806279504848165,0.526615463712853,18530,-0.3489840154093775,274
S2_deround,dL1_der+dTail_der,0.5126522703850587,0.49499040496887836,0.5262144597358371,18512,-0.39359565758741205,274
S4_residue,g15_dL1_der_resid+g15_dTail_der_resid,0.5220288275245378,0.5090522756969393,0.5312326325799379,18464,-0.38363375253933185,274
