variant,arm_families,raw_dTail,raw_lo,raw_hi,raw_channel_weighted,deround_dTail,deround_lo,deround_hi,strip7_dTail,strip7_lo,strip7_hi,core_dTail,core_lo,core_hi,holds_frozen_rule
full,166,0.0911661630802433,0.08204052982433803,0.10038751853410545,0.07074878201506592,-0.020706753635070883,-0.023310976389707253,-0.01813338588492292,-0.018356375757575757,-0.020174105757575757,-0.016657907575757577,-0.00011354545454545459,-0.0004418809090909091,0.00033046999999999986,True
excl_network_telemetry,166,0.0911661630802433,0.08185220571928623,0.10037588909623148,0.07074878201506592,-0.020706753635070883,-0.02326483349947778,-0.01829486249952157,-0.018356375757575757,-0.020163002121212123,-0.016502802424242423,-0.00011354545454545459,-0.00043850545454545456,0.00036528181818181805,True
excl_procurement,158,0.09233210587002096,0.08269683076519917,0.1017628650943396,0.07457635256410257,-0.02077798081761006,-0.023430733155136267,-0.018053582154088053,-0.01877050955414013,-0.020590998089171975,-0.016906800636942675,-0.00022466878980891724,-0.0005430458598726114,0.0002531340764331208,True
excl_census,166,0.0911661630802433,0.081730298074364,0.10010928562158411,0.07074878201506592,-0.020706753635070883,-0.02324088710187803,-0.017938543160064786,-0.018356375757575757,-0.02016026181818182,-0.016617296060606062,-0.00011354545454545459,-0.0004403651515151515,0.00033152121212121213,True
equal_family_weighting,166,0.0911661630802433,0.08258937773029879,0.10005445466307034,0.07074878201506592,-0.020706753635070883,-0.02308299380355712,-0.01818054275100498,-0.018356375757575757,-0.020131060606060607,-0.016557305454545455,-0.00011354545454545459,-0.0004352584848484848,0.0003314315151515151,True
