ladder,auc,lo,hi
R_recording,0.5123692427073167,,
R_plus_L1,0.5214811918955363,,
R_plus_L1_L3,0.5346027712575907,,
R_full_profile,0.5473023887534569,,
delta R_plus_L1 - R_recording,0.00911194918821967,-0.006431525387358394,0.02557297108168728
delta R_plus_L1_L3 - R_recording,0.02223352855027405,-0.005585325744298013,0.05517329318036081
delta R_plus_L1_L3 - R_plus_L1,0.01312157936205438,-0.010742098502938929,0.03806088240426241
delta R_full_profile - R_recording,0.034933146046140284,0.0035615321917297662,0.07266708035084346
delta R_full_profile - R_plus_L1,0.025821196857920614,0.0028277946849211647,0.051131092268515047
